1, 2019-12-01, salary, 50000
1, 2020-01-01, salary, 50000
1, 2020-02-01, salary, 50000
1, 2020-03-01, salary, 50000
1, 2020-04-01, salary, 50000
1, 2020-05-01, salary, 50000
1, 2020-06-01, salary, 53000
1, 2020-07-01, salary, 53000
1, 2020-08-01, salary, 53000
1, 2020-09-01, salary, 53000
1, 2020-10-01, salary, 53000
1, 2020-11-01, salary, 53000
1, 2020-12-01, salary, 53000
1, 2021-01-01, salary, 53000
1, 2019-12-01, bonus, 10000
1, 2020-01-01, bonus, 10000
1, 2020-02-01, bonus, 9000
1, 2020-03-01, bonus, 11000
1, 2020-04-01, bonus, 10000
1, 2020-05-01, bonus, 5000
1, 2020-06-01, bonus, 10000
1, 2020-07-01, bonus, 10000
1, 2020-08-01, bonus, 10000
1, 2020-09-01, bonus, 10000
1, 2020-10-01, bonus, 10000
1, 2020-11-01, bonus, 10000
1, 2020-12-01, bonus, 10000
1, 2021-01-01, bonus, 10000
2, 2019-12-01, salary, 60000
2, 2020-01-01, salary, 60000
2, 2020-02-01, salary, 60000
2, 2020-03-01, salary, 62000
2, 2020-04-01, salary, 62000
2, 2020-05-01, salary, 62000
2, 2020-06-01, salary, 62000
2, 2020-07-01, salary, 62000
2, 2020-08-01, salary, 62000
2, 2020-09-01, salary, 62000
2, 2020-10-01, salary, 65000
2, 2020-11-01, salary, 65000
2, 2020-12-01, salary, 65000
2, 2021-01-01, salary, 65000
2, 2019-12-01, bonus, 10000
2, 2020-01-01, bonus, 10000
2, 2020-02-01, bonus, 9000
2, 2020-03-01, bonus, 11000
2, 2020-04-01, bonus, 10000
2, 2020-05-01, bonus, 5000
2, 2020-06-01, bonus, 10000
2, 2020-07-01, bonus, 7000
2, 2020-08-01, bonus, 7000
2, 2020-09-01, bonus, 7000
2, 2020-10-01, bonus, 7000
2, 2020-11-01, bonus, 7000
2, 2020-12-01, bonus, 7000
2, 2021-01-01, bonus, 7000
3, 2019-12-01, salary, 60000
3, 2020-01-01, salary, 60000
3, 2020-02-01, salary, 60000
3, 2020-03-01, salary, 60000
3, 2020-04-01, salary, 60000
3, 2020-05-01, salary, 60000
3, 2020-06-01, salary, 60000
3, 2020-07-01, salary, 60000
3, 2020-08-01, salary, 60000
3, 2020-09-01, salary, 60000
3, 2020-10-01, salary, 60000
3, 2020-11-01, salary, 64000
3, 2020-12-01, salary, 64000
3, 2021-01-01, salary, 64000
4, 2019-12-01, salary, 61000
4, 2020-01-01, salary, 61000
4, 2020-02-01, salary, 61000
4, 2020-03-01, salary, 61000
4, 2020-04-01, salary, 61000
4, 2020-05-01, salary, 63000
4, 2020-06-01, salary, 63000
4, 2020-07-01, salary, 63000
4, 2020-08-01, salary, 63000
4, 2020-09-01, salary, 63000
4, 2020-10-01, salary, 63000
4, 2020-11-01, salary, 63000
4, 2020-12-01, salary, 63000
4, 2021-01-01, salary, 63000
4, 2019-12-01, bonus, 7000
4, 2020-01-01, bonus, 7000
4, 2020-02-01, bonus, 7000
4, 2020-03-01, bonus, 7000
4, 2020-04-01, bonus, 7000
4, 2020-05-01, bonus, 7000
4, 2020-06-01, bonus, 7000
4, 2020-07-01, bonus, 7000
4, 2020-08-01, bonus, 7000
4, 2020-09-01, bonus, 7000
4, 2020-10-01, bonus, 7000
4, 2020-11-01, bonus, 7000
4, 2020-12-01, bonus, 7000
4, 2021-01-01, bonus, 7000
